opt_label,n,runs,t_naive_ms,t_opt_ms,correct
O2,16,500,0.182700,0.127600,OK
O2,32,500,0.697800,0.411400,OK
O2,48,500,1.230400,1.177200,OK
O2,64,500,2.920900,2.186100,OK
O2,80,100,0.766700,0.683300,OK
O2,96,100,1.475100,1.131000,OK
O2,112,100,2.012900,1.452300,OK
O2,128,100,3.063800,1.701500,OK
O2,144,100,3.186300,2.592100,OK
O2,160,100,3.741200,2.474400,OK
O2,176,100,4.513100,2.629400,OK
O2,192,100,6.799000,3.863300,OK
O2,208,100,6.467800,4.516200,OK
O2,224,100,9.045700,5.591000,OK
O2,240,100,8.623300,5.976900,OK
O2,256,100,11.320900,6.070000,OK
O2,272,30,3.522700,2.331700,OK
O2,288,30,4.492800,2.489100,OK
O2,304,30,4.188700,2.577400,OK
O2,320,30,5.233000,2.757200,OK
O2,336,30,4.936400,3.362800,OK
O2,352,30,9.759700,4.486800,OK
O2,368,30,7.211100,4.381100,OK
O2,384,30,7.747200,3.973700,OK
O2,400,30,7.972800,5.762300,OK
O2,416,30,9.506200,4.878600,OK
O2,432,30,11.075400,5.568700,OK
O2,448,30,10.708400,4.932800,OK
O2,464,30,14.204800,6.309900,OK
O2,480,30,13.979500,5.538500,OK
O2,496,30,15.823200,6.556800,OK
O2,512,30,56.682800,6.758200,OK
O2,576,10,8.243200,3.527100,OK
O2,640,10,9.360500,3.671200,OK
O2,704,10,14.942300,5.298000,OK
O2,768,10,14.705500,2.583700,OK
O2,832,10,8.081300,3.023400,OK
O2,896,10,18.739000,6.448100,OK
O2,960,10,30.785100,8.514900,OK
O2,1024,10,112.572500,8.397100,OK
O2,1088,3,9.411500,3.012200,OK
O2,1152,3,19.932100,7.996000,OK
O2,1216,3,27.566500,7.954500,OK
O2,1280,3,50.313900,5.681000,OK
O2,1344,3,19.765700,5.088400,OK
O2,1408,3,37.252800,8.094200,OK
O2,1472,3,34.253300,9.646700,OK
O2,1536,3,62.192000,7.186200,OK
O2,1600,3,24.494900,7.948600,OK
O2,1664,3,49.788700,7.269200,OK
O2,1728,3,44.840600,9.087700,OK
O2,1792,3,84.880000,10.405600,OK
O2,1856,3,45.365200,11.806500,OK
O2,1920,3,78.886600,9.750100,OK
O2,1984,3,44.793400,10.015600,OK
O2,2048,3,123.729900,12.040100,OK
